2024-04-12 11:30:11.002 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen, wanx
2024-04-12 11:30:11.026 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-12 11:30:11.026 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-12 11:30:11.026 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240412-113007_47ojcl/agentscope.db]
2024-04-12 11:30:11.033 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-12 11:30:11.034 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-12 11:30:11.035 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-12 11:30:11.036 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-12 11:30:11.037 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-12 11:30:11.037 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
